ac$,-ac,pertaining to,に関する,"cardiac, hemophiliac, maniac"
less$,-less,without,無し,"fearless, helpless, homeless"
let$,-let,version of,のバージョン,"booklet, droplet, inlet"
like$,-like,"resembling, characteristic",似ている、特徴,"childlike, homelike, lifelike"
ling$,-ling,younger or inferior,若いまたは劣る,"duckling, underling"
(?:loger|logist)$,"-loger, -logist",one who does,ないもの,"astrologer, cardiologist, chronologer"
log$,-log,speech,スピーチ,"dialog, monolog,"
ly$,-ly,in what manner,どのような方法で、,"badly, courageously, happily"
ment$,-ment,"action, result",アクション、結果,"movement, placement, shipment"
ness$,-ness,state or quality (makes a noun),状態や品質（名詞になる）,"kindness, shyness, weakness"
oid$,-oid,resembling,似ている,"humanoid, tabloid, hemorrhoid"
ology$,-ology,"study of, science of",の科学の研究,"anthropology, archaeology, biology"
oma$,-oma,"tumor, swelling",腫瘍、腫れ,"carcinoma, osteoma, hematoma"
onym$,-onym,"name, word",名前、単語,"synonym, antonym, homonym"
opia$,-opia,eye defect,眼の欠陥,"myopia, nyctalopia, hyperopia"
opsy$,-opsy,examination,検査,"biopsy, autopsy, necropsy"
or$,-or,a person who,する人,"inventor, legislator, translator"
ory$,-ory,relating to,に関連する,"armory, dormitory, laboratory"
osis$,-osis,"process, diseased condition",プロセス、病的状態,"diagnosis, prognosis, neurosis, psychosis"
(?:ostomy|otomy)$,"-ostomy, -otomy",surgical,外科,"colostomy, lobotomy, craniotomy"
ous$,-ous,full of,いっぱいの,"hazardous, humorous, wondrous"
path$,-path,one who engages in,に従事するもの,"homeopath, naturopath, psychopath"
pathy$,-pathy,"feeling, diseased",感情、病気の,"sympathy, apathy, neuropathy"
phile$,-phile,one who loves,愛するもの,"bibliophile, audiophile, pyrophile"
phobia$,-phobia,abnormal fear of,異常な恐怖,"acrophobia, claustrophobia, xenophobia"
phone$,-phone,sound,音,"homophone, telephone, microphone"
phyte$,-phyte,"plant, to grow",成長する植物、,"zoophyte, cryptophyte, epiphyte"
plegia$,-plegia,paralysis,麻痺,"paraplegia, quadriplegia, hemiplegia"
plegic$,-plegic,one who is paralyzed,麻痺している1,"paraplegic, technoplegic, quadriplegic"
pnea$,-pnea,"air, spirit",空気、精神,"apnea, hyperpnea, orthopnea"
(?:scopy|scope)$,"-scopy, -scope",visual exam,視覚的な試験,"arthroscopy, gastroscopy, microscope"
(?:scribe|script)$,"-scribe, -script",to write,書くこと,"transcript, describe, manuscript"
sect$,-sect,to cut,切る,"dissect, insect, bisect"
ship$,-ship,"state or condition of, skill of",のスキルの状態や症状,"authorship, citizenship, friendship"
sion$,-sion,state or quality,状態や品質,"confusion, depression, tension"
some$,-some,"characterized by, group of",の群によって特徴付け,"cumbersome, quarrelsome, foursome"
(?:sophy|sophic)$,"-sophy, -sophic","wisdom, knowledge",知恵、知識,"philosophy, theosophy, anthroposophic"
th$,-th,state or quality,状態や品質,"depth, length, strength"
tion$,-tion,state or quality,状態や品質,"attention, caution, fascination"
(?:tome|tomy)$,"-tome, -tomy",to cut,切る,"hysterectomy, epitome, tonsillotome"
trophy$,-trophy,"nourishment, growth",栄養、成長,"atrophy, hypertrophy, dystrophy"
tude$,-tude,"state, condition or quality",状態または品質,"fortitude, gratitude, magnitude"
ty$,-ty,"state, condition or quality",状態または品質,"ability, honesty, loyalty"
ular$,-ular,relating to or resembling,関連または類似している,"cellular, circular, muscular"
uous$,-uous,state or quality of,状態や品質の,"arduous, tumultuous, virtuous"
ure$,-ure,"action, condition",アクション、条件,"closure, erasure, failure"
ward$,-ward,specifies direction,指定した方向,"backward, eastward, homeward"
ware$,-ware,things of the same type or material,同じタイプまたは材料のもの,"hardware, software, kitchenware"
wise$,-wise,in what manner or direction,どのような方法や方向,"clockwise, lengthwise, otherwise"
y$,-y,"made up of, characterized",で出来ている、特徴づけられた,"brainy, fruity, gooey"
